Updated date,2025-05-30,,,,,,,,,,,,,
"Google real time rate, USD to HKD",,,7.84910257,,iMoney,05-30 19:26,7.8413,,,,,,,
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0026,,Oystersteel and yellow gold,Champagne-colour,Gem-set,"$127,500.00","$128,000.00","$16,672.32","$14,600.00","$2,072.32","$16,060.00",$612.32
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0024,,Oystersteel and yellow gold,Black mother-of-pearl,Gem-set,"$134,000.00","$134,000.00","$17,444.46","$15,050.00","$2,394.46","$16,555.00",$889.46
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0022,,Oystersteel and yellow gold,Dark grey,Gem-set,"$130,000.00","$130,000.00","$16,929.70","$14,600.00","$2,329.70","$16,060.00",$869.70
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0020,,Oystersteel and yellow gold,Silver ,Gem-set,"$128,000.00","$128,000.00","$16,672.32","$14,600.00","$2,072.32","$16,060.00",$612.32
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0018,,Oystersteel and yellow gold,Dark grey,Gem Large VI,"$124,500.00","$124,500.00","$16,221.91","$14,200.00","$2,021.91","$15,620.00",$601.91
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0016,,Oystersteel and yellow gold,Olive green,Gem Large VI,"$126,000.00","$126,000.00","$16,414.94","$14,200.00","$2,214.94","$15,620.00",$794.94
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0014,,Oystersteel and yellow gold,Champagne-colour,Index,"$110,000.00","$112,000.00","$14,613.28","$12,600.00","$2,013.28","$13,860.00",$753.28
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0004,,Oystersteel and yellow gold,Silver ,Gem Large VI,"$115,000.00","$115,000.00","$14,999.35","$14,200.00",$799.35,"$15,620.00",-$620.65
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0002,,Oystersteel and yellow gold,White,Roman Numerals,Newest 2025.04,,,"$12,600.00",,"$13,860.00",
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0030,,Oystersteel and Everose gold,Slate,Gem Large VI,"$119,000.00","$119,000.00","$15,514.11","$14,650.00",$864.11,"$16,115.00",-$600.89
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0028,,Oystersteel and Everose gold,Chocolate ,Gem-set,"$138,500.00","$140,000.00","$18,216.60","$15,050.00","$3,166.60","$16,555.00","$1,661.60"
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0026,,Oystersteel and Everose gold,White mother-of-pearl,Gem-set,"$136,000.00","$138,000.00","$17,959.22","$15,500.00","$2,459.22","$17,050.00",$909.22
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0024,,Oystersteel and Everose gold,Rosé-colour,Gem-set,"$132,000.00","$132,500.00","$17,251.43","$15,050.00","$2,201.43","$16,555.00",$696.43
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0020,,Oystersteel and Everose gold,Aubergine,Gem Large VI,"$127,000.00","$127,000.00","$16,543.63","$14,650.00","$1,893.63","$16,115.00",$428.63
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0018,,Oystersteel and Everose gold,Slate,Index,"$106,000.00","$108,000.00","$14,098.52","$13,050.00","$1,048.52","$14,355.00",-$256.48
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0016,,Oystersteel and Everose gold,Silver ,Gem-set,"$126,000.00","$126,000.00","$16,414.94","$15,050.00","$1,364.94","$16,555.00",-$140.06
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0010,,Oystersteel and Everose gold,Rosé-colour,Index,Newest 2025.04,,,"$13,050.00",,"$14,355.00",
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0006,,Oystersteel and Everose gold,Rosé-colour,Roman Numerals,Newest 2025.03,,,"$13,050.00",,"$14,355.00",
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0004,,Oystersteel and Everose gold,Chocolate ,Gem Large VI,"$126,000.00","$127,000.00","$16,543.63","$14,650.00","$1,893.63","$16,115.00",$428.63
Rolex Datejust,31mm,Fluted/Jubilee,m278271-0002,,Oystersteel and Everose gold,White,Roman Numerals,"$111,000.00","$111,000.00","$14,484.59","$13,050.00","$1,434.59","$14,355.00",$129.59
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0028,,Oystersteel,Mint green,Index,"$111,000.00","$116,000.00","$15,128.04","$11,100.00","$4,028.04","$12,210.00","$2,918.04"
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0026,,Oystersteel,Azzurro blue,Roman Numerals,"$95,000.00","$95,000.00","$12,425.55","$11,100.00","$1,325.55","$12,210.00",$215.55
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0024,,Oystersteel,White,Roman Numerals,"$94,000.00","$94,000.00","$12,296.86","$11,100.00","$1,196.86","$12,210.00",$86.86
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0022,,Oystersteel,Slate Wimbledon ,Roman Numerals,"$105,000.00","$105,500.00","$13,776.80","$11,100.00","$2,676.80","$12,210.00","$1,566.80"
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0018,,Oystersteel,Bright black,Index,"$100,500.00","$100,500.00","$13,133.35","$11,100.00","$2,033.35","$12,210.00",$923.35
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0016,,Oystersteel,Bright blue,Gem-set,"$115,500.00","$115,500.00","$15,063.70","$13,100.00","$1,963.70","$14,410.00",$653.70
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0014,,Oystersteel,Slate,Index,"$104,000.00","$104,000.00","$13,583.76","$11,100.00","$2,483.76","$12,210.00","$1,373.76"
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0012,,Oystersteel,Bright black,Gem-set,"$115,000.00","$115,000.00","$14,999.35","$13,100.00","$1,899.35","$14,410.00",$589.35
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0010,,Oystersteel,White,Index,"$93,000.00","$94,500.00","$12,361.21","$11,100.00","$1,261.21","$12,210.00",$151.21
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0006,,Oystersteel,Slate,Gem-set,"$128,000.00","$128,000.00","$16,672.32","$13,100.00","$3,572.32","$14,410.00","$2,262.32"
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0004,,Oystersteel,Silver,Index,"$95,300.00","$96,000.00","$12,554.24","$11,100.00","$1,454.24","$12,210.00",$344.24
Rolex Datejust,41mm,Fluted/Jubilee,m126334-0002,,Oystersteel,Bright blue,Index,"$102,500.00","$103,500.00","$13,519.42","$11,100.00","$2,419.42","$12,210.00","$1,309.42"
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0020,,Oystersteel and yellow gold,Slate Wimbledon ,Roman Numerals,"$125,000.00","$125,000.00","$16,286.25","$16,100.00",$186.25,"$17,710.00","-$1,423.75"
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0016,,Oystersteel and yellow gold,White,Index,Newest 2025.04,,,"$16,100.00",,"$17,710.00",
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0014,,Oystersteel and yellow gold,Bright black,Index,"$126,500.00","$126,500.00","$16,479.29","$16,100.00",$379.29,"$17,710.00","-$1,230.71"
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0012,,Oystersteel and yellow gold,Champagne-colour,Gem-set,"$141,000.00","$141,000.00","$18,345.29","$18,100.00",$245.29,"$19,910.00","-$1,564.71"
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0010,,Oystersteel and yellow gold,Champagne-colour,Index,"$123,000.00","$123,000.00","$16,028.87","$16,100.00",-$71.13,"$17,710.00","-$1,681.13"
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0006,,Oystersteel and yellow gold,Bright black,Gem-set,"$145,000.00","$146,000.00","$18,988.74","$18,100.00",$888.74,"$19,910.00",-$921.26
Rolex Datejust,41mm,Fluted/Jubilee,m126333-0002,,Oystersteel and yellow gold,Silver,Index,"$115,000.00","$115,000.00","$14,999.35","$16,100.00","-$1,100.65","$17,710.00","-$2,710.65"
Rolex Datejust,41mm,Fluted/Jubilee,m126331-0016,,Oystersteel and Everose gold,Slate Wimbledon ,Roman Numerals,"$139,000.00","$139,000.00","$18,087.91","$16,550.00","$1,537.91","$18,205.00",-$117.09
Rolex Datejust,41mm,Fluted/Jubilee,m126331-0010,,Oystersteel and Everose gold,Sundust,Index,"$126,000.00","$126,000.00","$16,414.94","$16,550.00",-$135.06,"$18,205.00","-$1,790.06"
Rolex Datejust,41mm,Fluted/Jubilee,m126331-0008,,Oystersteel and Everose gold,Sundust,Gem-set,"$142,000.00","$142,000.00","$18,473.98","$18,550.00",-$76.02,"$20,405.00","-$1,931.02"
Rolex Datejust,41mm,Fluted/Jubilee,m126331-0004,,Oystersteel and Everose gold,Chocolate,Gem-set,"$149,000.00","$150,000.00","$19,503.50","$18,550.00",$953.50,"$20,405.00",-$901.50
Rolex Datejust,41mm,Fluted/Jubilee,m126331-0002,,Oystersteel and Everose gold,Chocolate,Index,"$135,500.00","$135,500.00","$17,637.50","$16,550.00","$1,087.50","$18,205.00",-$567.50
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0051,,Oystersteel,Mint green,Index,"$89,000.00","$89,000.00","$11,653.41","$9,550.00","$2,103.41","$10,505.00","$1,148.41"
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0045,,Oystersteel,Slate Wimbledon ,Roman Numerals,"$83,500.00","$83,500.00","$10,945.62","$9,550.00","$1,395.62","$10,505.00",$440.62
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0037,,Oystersteel,Bright blue,Gem-set,"$97,000.00","$97,000.00","$12,682.93","$11,550.00","$1,132.93","$12,705.00",-$22.07
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0031,,Oystersteel,Pink ,Gem VI & IX,"$104,500.00","$108,000.00","$14,098.52","$12,100.00","$1,998.52","$13,310.00",$788.52
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0029,,Oystersteel,Silver,Gem VI & IX,"$98,000.00","$99,000.00","$12,940.31","$12,100.00",$840.31,"$13,310.00",-$369.69
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0027,,Oystersteel,Bright black,Gem-set,"$96,000.00","$98,000.00","$12,811.62","$11,550.00","$1,261.62","$12,705.00",$106.62
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0025,,Oystersteel,White,Roman Numerals,"$78,000.00",5 days ago,"$10,237.82","$9,550.00",$687.82,"$10,505.00",-$267.18
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0021,,Oystersteel,Aubergine ,Gem VI & IX,"$102,500.00","$103,000.00","$13,455.07","$12,100.00","$1,355.07","$13,310.00",$145.07
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0019,,Oystersteel,White mother-of-pearl,Gem-set,"$105,000.00","$105,000.00","$13,712.45","$12,300.00","$1,412.45","$13,530.00",$182.45
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0017,,Oystersteel,Bright blue,Index,"$83,000.00","$83,000.00","$10,881.27","$9,550.00","$1,331.27","$10,505.00",$376.27
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0015,,Oystersteel,Bright black,Index,"$82,000.00","$82,000.00","$10,752.58","$9,550.00","$1,202.58","$10,505.00",$247.58
Rolex Datejust,36mm,Fluted/Jubilee,m126234-0013,,Oystersteel,Silver,Index,"$81,000.00","$81,000.00","$10,623.89","$9,550.00","$1,073.89","$10,505.00",$118.89
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0035,,Oystersteel and yellow gold,Slate Wimbledon ,Roman Numerals,"$108,000.00","$108,000.00","$14,098.52","$14,400.00",-$301.48,"$15,840.00","-$1,741.48"
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0031,,Oystersteel and yellow gold,Silver,Gem VI & IX,"$132,000.00","$132,000.00","$17,187.08","$16,950.00",$237.08,"$18,645.00","-$1,457.92"
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0029,,Oystersteel and yellow gold,White,Roman Numerals,No 2025,,,"$14,400.00",,"$15,840.00",
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0025,,Oystersteel and yellow gold,Olive green,Gem VI & IX,"$135,500.00","$137,000.00","$17,830.53","$16,950.00",$880.53,"$18,645.00",-$814.47
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0023,,Oystersteel and yellow gold,White mother-of-pearl,Gem-set,"$138,000.00","$138,000.00","$17,959.22","$17,150.00",$809.22,"$18,865.00",-$905.78
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0021,,Oystersteel and yellow gold,Bright black,Gem-set,"$129,000.00","$131,000.00","$17,058.39","$16,400.00",$658.39,"$18,040.00",-$981.61
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0019,,Oystersteel and yellow gold,White,Index,"$110,000.00","$110,000.00","$14,355.90","$14,400.00",-$44.10,"$15,840.00","-$1,484.10"
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0017,,Oystersteel and yellow gold,Champagne-colour,Gem-set,"$128,000.00",7 days ago,"$16,672.32","$16,400.00",$272.32,"$18,040.00","-$1,367.68"
Rolex Datejust,36mm,Fluted/Jubilee,m126233-0015,,Oystersteel and yellow gold,Champagne-colour,Index,"$112,000.00","$112,000.00","$14,613.28","$14,400.00",$213.28,"$15,840.00","-$1,226.72"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0043,,Oystersteel and Everose gold,Chocolate,Index,"$121,000.00",5 days ago,"$15,771.49","$14,750.00","$1,021.49","$16,225.00",-$453.51
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0029,,Oystersteel and Everose gold,Slate Wimbledon ,Roman Numerals,"$114,000.00","$114,000.00","$14,870.66","$14,750.00",$120.66,"$16,225.00","-$1,354.34"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0027,,Oystersteel and Everose gold,Rosé-colour,Gem VI & IX,"$136,000.00","$136,000.00","$17,701.84","$17,300.00",$401.84,"$19,030.00","-$1,328.16"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0023,,Oystersteel and Everose gold,Slate,Gem VI & IX,"$135,000.00","$135,000.00","$17,573.15","$17,300.00",$273.15,"$19,030.00","-$1,456.85"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0021,,Oystersteel and Everose gold,White mother-of-pearl,Gem-set,"$143,000.00","$144,000.00","$18,731.36","$17,500.00","$1,231.36","$19,250.00",-$518.64
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0019,,Oystersteel and Everose gold,Bright black,Gem-set,"$131,000.00","$131,000.00","$17,058.39","$16,750.00",$308.39,"$18,425.00","-$1,366.61"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0017,,Oystersteel and Everose gold,White,Index,"$112,000.00","$112,000.00","$14,613.28","$14,750.00",-$136.72,"$16,225.00","-$1,611.72"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0015,,Oystersteel and Everose gold,White,Roman Numerals,"$113,000.00","$113,000.00","$14,741.97","$14,750.00",-$8.03,"$16,225.00","-$1,483.03"
Rolex Datejust,36mm,Fluted/Jubilee,m126231-0013,,Oystersteel and Everose gold,Slate,Index,newest 2025.04,,,"$14,750.00",,"$16,225.00",
